epoch,accuracy,loss,val_accuracy,val_loss
0,0.13750000298023224,2.270096778869629,0.2666666805744171,2.1591410636901855
1,0.20416666567325592,2.0511441230773926,0.18333333730697632,2.0363073348999023
2,0.2750000059604645,1.8396167755126953,0.30000001192092896,1.9957022666931152
3,0.3708333373069763,1.7228586673736572,0.4166666567325592,1.5450950860977173
4,0.5458333492279053,1.3816581964492798,0.6166666746139526,1.1080118417739868
5,0.5541666746139526,1.0653799772262573,0.6333333253860474,0.9583045840263367
6,0.5791666507720947,1.046775221824646,0.5166666507720947,1.0563145875930786
7,0.6208333373069763,0.9580466151237488,0.5833333134651184,0.9172629714012146
8,0.5874999761581421,0.8780940771102905,0.699999988079071,0.7999908328056335
9,0.762499988079071,0.6761986613273621,0.7666666507720947,0.6291520595550537
10,0.7833333611488342,0.5710927248001099,0.6666666865348816,0.7207158207893372
11,0.7083333134651184,0.6775099635124207,0.5833333134651184,1.0244495868682861
12,0.675000011920929,0.8122872710227966,0.7166666388511658,0.751139760017395
13,0.8083333373069763,0.5289362072944641,0.8166666626930237,0.44753697514533997
14,0.8958333134651184,0.39432021975517273,0.8166666626930237,0.5745832920074463
15,0.9208333492279053,0.2917545735836029,0.949999988079071,0.2678070068359375
16,0.9041666388511658,0.2727647125720978,0.8666666746139526,0.3951733410358429
17,0.8791666626930237,0.3668830990791321,0.8833333253860474,0.3731728792190552
18,0.8500000238418579,0.4668886065483093,0.8833333253860474,0.43356525897979736
19,0.875,0.3480224013328552,0.8500000238418579,0.34014514088630676
20,0.949999988079071,0.222320556640625,0.949999988079071,0.2019011527299881
21,0.9583333134651184,0.15580067038536072,0.949999988079071,0.2054893970489502
22,0.9708333611488342,0.1252940446138382,0.9666666388511658,0.18266913294792175
23,0.987500011920929,0.07448790222406387,0.9833333492279053,0.11799683421850204
24,0.9708333611488342,0.0859547033905983,0.949999988079071,0.23280002176761627
25,0.8958333134651184,0.36265140771865845,0.8500000238418579,0.3336409330368042
26,0.862500011920929,0.31551599502563477,0.8833333253860474,0.34275248646736145
27,0.8374999761581421,0.3480449914932251,0.8999999761581421,0.28050896525382996
28,0.9333333373069763,0.22574010491371155,0.9333333373069763,0.2660589814186096
